"Name","Citizenship"
"Description","Native Citizen: Individuals who were born in the United States, Puerto Rico, a U.S. Island Area (such as Guam), or abroad of American (U.S. citizen) parent or parents are considered U.S. citizens at birth.<br />
Naturalized Citizens: Foreign-born individuals&nbsp;who are U.S. citizens through naturalization.&nbsp;<br />
Non-Citizens:&nbsp; Individuals who are not currently citizens of the U.S."
"Source Notes","<span style=""font-family: GestaCond-Regular, GestaCond-Regular, Tahoma, Arial, sans-serif; color: #333333;""></span><span style=""font-family: GestaCond-Regular, GestaCond-Regular, Tahoma, Arial, sans-serif; color: #333333;""></span>U.S. Census Bureau, American Community Survey 1-Year Estimates, Table B05002 (2005-2023); retrieved from&nbsp;<a href=""https://data.census.gov/"" target=""_blank"">https://data.census.gov/</a>."
"Notes","<normal>Percents refer&nbsp;to the share of the total population for that year.&nbsp;<br />
<br />
<span style=""background-color: #ffffff; border: 0px; font-variant: inherit; font-weight: inherit; font-stretch: inherit; line-height: inherit; margin: 0px; padding: 0px; vertical-align: baseline;"">We do not report 2020 American Community Survey 1-year estimates. Due to disruptions and biases in data collection during 2020, the Census Bureau released the &ldquo;experimental&rdquo; 1-year estimates for 2020 and advises against comparing against estimates from prior or future years.<span style=""font-variant: inherit; font-weight: inherit; font-stretch: inherit; line-height: inherit; border: 0px; margin: 0px; padding: 0px; vertical-align: baseline; color: inherit;"">&nbsp;<br />
</span></span><br />
Please note that the citizenship question on the American Community Survey (ACS) has seen higher levels of non-response in recent years. In New York State, the share of ACS respondents who skipped this question exceeded 8% in 2018 &mdash; greater than for any other demographic questions. For this reason, while the data remain reliable, the <em>number</em>&nbsp;values should be interpreted with caution; for smaller estimates at the community district level, the average margin of error was 13% of the estimated value for 2018 data.</normal><br />
<br />
For more information:<br />
<blockquote style=""margin: 0px 0px 0px 40px; border: none; padding: 0px;"">O'Hare, W. (2018). ""Citizenship Question Nonresponse: A Demographic Profile of People Who Do Not Answer the American Community Survey Citizenship Question."" <em>Center on Poverty and Inequality at Georgetown Law</em>. Retrieved from:&nbsp;<a href=""http://www.georgetownpoverty.org/wp-content/uploads/2018/09/GCPI-ESOI-Demographic-Profile-of-People-Who-Do-Not-Respond-to-the-Citizenship-Question-20180906.pdf"">http://www.georgetownpoverty.org/wp-content/uploads/2018/09/GCPI-ESOI-Demographic-Profile-of-People-Who-Do-Not-Respond-to-the-Citizenship-Question-20180906.pdf</a></blockquote>"
East Tremont,Non-Citizens,2013,Percent,0.19449,206
Bedford Park,Non-Citizens,2013,Percent,0.24881,207
University Heights,Non-Citizens,2013,Percent,0.25245,205
Concourse/Highbridge,Non-Citizens,2013,Percent,0.23796,204
Unionport/Soundview,Non-Citizens,2013,Percent,0.14808,209
Mott Haven,Non-Citizens,2013,Percent,0.16886,201
Hunts Point,Non-Citizens,2013,Percent,0.16886,202
Washington Heights,Non-Citizens,2013,Percent,0.23037,112
Manhattanville,Non-Citizens,2013,Percent,0.17441,109
Central Harlem,Non-Citizens,2013,Percent,0.1139,110
East Harlem,Non-Citizens,2013,Percent,0.13629,111
Upper East Side,Non-Citizens,2013,Percent,0.11269,108
Upper West Side,Non-Citizens,2013,Percent,0.13227,107
Chelsea/Clinton,Non-Citizens,2013,Percent,0.14006,104
Midtown Business District,Non-Citizens,2013,Percent,0.14006,105
Murray Hill/Stuyvesant,Non-Citizens,2013,Percent,0.10148,106
Lower East Side,Non-Citizens,2013,Percent,0.13144,103
Battery Park/Tribeca,Non-Citizens,2013,Percent,0.13054,101
Greenwich Village,Non-Citizens,2013,Percent,0.13054,102
Tottenville,Non-Citizens,2013,Percent,0.03897,503
South Beach,Non-Citizens,2013,Percent,0.07807,502
St. George,Non-Citizens,2013,Percent,0.10003,501
Williamsburg/Greenpoint,Non-Citizens,2013,Percent,0.12368,301
Bushwick,Non-Citizens,2013,Percent,0.25778,304
Bedford Stuyvesant,Non-Citizens,2013,Percent,0.10363,303
Fort Greene/Brooklyn Hts,Non-Citizens,2013,Percent,0.09115,302
Park Slope,Non-Citizens,2013,Percent,0.09867,306
Crown Heights North,Non-Citizens,2013,Percent,0.1201,308
Brownsville,Non-Citizens,2013,Percent,0.16887,316
East New York,Non-Citizens,2013,Percent,0.16014,305
Canarsie,Non-Citizens,2013,Percent,0.10531,318
East Flatbush,Non-Citizens,2013,Percent,0.20524,317
Crown Heights South,Non-Citizens,2013,Percent,0.186,309
Sunset Park,Non-Citizens,2013,Percent,0.31488,307
Bay Ridge,Non-Citizens,2013,Percent,0.17641,310
Borough Park,Non-Citizens,2013,Percent,0.12792,312
Flatbush/Midwood,Non-Citizens,2013,Percent,0.18069,314
Sheepshead Bay,Non-Citizens,2013,Percent,0.13055,315
Bensonhurst,Non-Citizens,2013,Percent,0.23255,311
Coney Island,Non-Citizens,2013,Percent,0.13911,313
Astoria,Non-Citizens,2013,Percent,0.18525,401
Jackson Heights,Non-Citizens,2013,Percent,0.3633,403
Flushing,Non-Citizens,2013,Percent,0.28571,407
Bayside,Non-Citizens,2013,Percent,0.12611,411
Queens Village,Non-Citizens,2013,Percent,0.12413,413
Fresh Meadows/Briarwood,Non-Citizens,2013,Percent,0.16055,408
Elmhurst/Corona,Non-Citizens,2013,Percent,0.38559,404
Rego Park/Forest Hills,Non-Citizens,2013,Percent,0.13225,406
Sunnyside/Woodside,Non-Citizens,2013,Percent,0.28745,402
Ridgewood/Glendale,Non-Citizens,2013,Percent,0.16952,405
Woodhaven,Non-Citizens,2013,Percent,0.19484,409
Jamaica/St. Albans,Non-Citizens,2013,Percent,0.1889,412
Howard Beach,Non-Citizens,2013,Percent,0.15489,410
The Rockaways,Non-Citizens,2013,Percent,0.12606,414
Bronx,Non-Citizens,2013,Percent,0.17992,36005
Brooklyn,Non-Citizens,2013,Percent,0.16339,36047
Manhattan,Non-Citizens,2013,Percent,0.14246,36061
Queens,Non-Citizens,2013,Percent,0.213,36081
Staten Island,Non-Citizens,2013,Percent,0.07318,36085
New York City,Non-Citizens,2013,Percent,0.17061,3651000
Riverdale,Native Citizen,2014,Number,72119,208
Williamsbridge,Native Citizen,2014,Number,80607,212
Throgs Neck,Native Citizen,2014,Number,97114,210
Pelham Parkway,Native Citizen,2014,Number,89536,211
Morrisania,Native Citizen,2014,Number,57155.34641,203
East Tremont,Native Citizen,2014,Number,59667.65359,206
Bedford Park,Native Citizen,2014,Number,75330,207
University Heights,Native Citizen,2014,Number,76581,205
Concourse/Highbridge,Native Citizen,2014,Number,82680,204
Unionport/Soundview,Native Citizen,2014,Number,129056,209
Mott Haven,Native Citizen,2014,Number,74482.50322,201
Hunts Point,Native Citizen,2014,Number,42530.49678,202
Washington Heights,Native Citizen,2014,Number,119638,112
Manhattanville,Native Citizen,2014,Number,84674,109
Central Harlem,Native Citizen,2014,Number,105272,110
East Harlem,Native Citizen,2014,Number,96803,111
Upper East Side,Native Citizen,2014,Number,168144,108
Upper West Side,Native Citizen,2014,Number,149036,107
Chelsea/Clinton,Native Citizen,2014,Number,70602.97741,104
Midtown Business District,Native Citizen,2014,Number,35336.02259,105
Murray Hill/Stuyvesant,Native Citizen,2014,Number,112142,106
Lower East Side,Native Citizen,2014,Number,98326,103
Battery Park/Tribeca,Native Citizen,2014,Number,48498.82084,101
Greenwich Village,Native Citizen,2014,Number,71594.17916,102
Tottenville,Native Citizen,2014,Number,145413,503
South Beach,Native Citizen,2014,Number,90255,502
St. George,Native Citizen,2014,Number,135360,501
Williamsburg/Greenpoint,Native Citizen,2014,Number,120353,301
Bushwick,Native Citizen,2014,Number,91525,304
Bedford Stuyvesant,Native Citizen,2014,Number,106259,303
Fort Greene/Brooklyn Hts,Native Citizen,2014,Number,112138,302
Park Slope,Native Citizen,2014,Number,105123,306
Crown Heights North,Native Citizen,2014,Number,88916,308
Brownsville,Native Citizen,2014,Number,84859,316
East New York,Native Citizen,2014,Number,101185,305
Canarsie,Native Citizen,2014,Number,122406,318
East Flatbush,Native Citizen,2014,Number,65953,317
Crown Heights South,Native Citizen,2014,Number,68630,309
Sunset Park,Native Citizen,2014,Number,78085,307
Bay Ridge,Native Citizen,2014,Number,75969,310
Borough Park,Native Citizen,2014,Number,117886,312
Flatbush/Midwood,Native Citizen,2014,Number,103712,314
Sheepshead Bay,Native Citizen,2014,Number,67891,315
Bensonhurst,Native Citizen,2014,Number,83284,311
Coney Island,Native Citizen,2014,Number,56499,313
Astoria,Native Citizen,2014,Number,108377,401
Jackson Heights,Native Citizen,2014,Number,73379,403
Flushing,Native Citizen,2014,Number,111195,407
Bayside,Native Citizen,2014,Number,71394,411
Queens Village,Native Citizen,2014,Number,109086,413
Fresh Meadows/Briarwood,Native Citizen,2014,Number,87721,408
Elmhurst/Corona,Native Citizen,2014,Number,60932,404
Rego Park/Forest Hills,Native Citizen,2014,Number,50911,406
Sunnyside/Woodside,Native Citizen,2014,Number,65327,402
Ridgewood/Glendale,Native Citizen,2014,Number,100459,405
Woodhaven,Native Citizen,2014,Number,75787,409
Jamaica/St. Albans,Native Citizen,2014,Number,147748,412
Howard Beach,Native Citizen,2014,Number,74472,410
The Rockaways,Native Citizen,2014,Number,75193,414
Bronx,Native Citizen,2014,Number,936859,36005
Brooklyn,Native Citizen,2014,Number,1650673,36047
Manhattan,Native Citizen,2014,Number,1160067,36061
Queens,Native Citizen,2014,Number,1211981,36081
Staten Island,Native Citizen,2014,Number,371028,36085
New York City,Native Citizen,2014,Number,5330608,3651000
Riverdale,Native Citizen,2014,Percent,0.67567,208
Williamsbridge,Native Citizen,2014,Percent,0.59867,212
Throgs Neck,Native Citizen,2014,Percent,0.80121,210
Pelham Parkway,Native Citizen,2014,Percent,0.65913,211
Morrisania,Native Citizen,2014,Percent,0.67823,203
East Tremont,Native Citizen,2014,Percent,0.67823,206
Bedford Park,Native Citizen,2014,Percent,0.55433,207
University Heights,Native Citizen,2014,Percent,0.57645,205
Concourse/Highbridge,Native Citizen,2014,Percent,0.58445,204
Unionport/Soundview,Native Citizen,2014,Percent,0.67879,209
Mott Haven,Native Citizen,2014,Percent,0.70006,201
Hunts Point,Native Citizen,2014,Percent,0.70006,202
Washington Heights,Native Citizen,2014,Percent,0.53323,112
Manhattanville,Native Citizen,2014,Percent,0.64766,109
Central Harlem,Native Citizen,2014,Percent,0.79735,110
East Harlem,Native Citizen,2014,Percent,0.74629,111
Upper East Side,Native Citizen,2014,Percent,0.75775,108
Upper West Side,Native Citizen,2014,Percent,0.77472,107
Chelsea/Clinton,Native Citizen,2014,Percent,0.70887,104
Midtown Business District,Native Citizen,2014,Percent,0.70887,105
Murray Hill/Stuyvesant,Native Citizen,2014,Percent,0.7823,106
Lower East Side,Native Citizen,2014,Percent,0.64496,103
Battery Park/Tribeca,Native Citizen,2014,Percent,0.75104,101
Greenwich Village,Native Citizen,2014,Percent,0.75104,102
Tottenville,Native Citizen,2014,Percent,0.85166,503
South Beach,Native Citizen,2014,Percent,0.71517,502
St. George,Native Citizen,2014,Percent,0.76762,501
Williamsburg/Greenpoint,Native Citizen,2014,Percent,0.77791,301
Bushwick,Native Citizen,2014,Percent,0.66628,304
Bedford Stuyvesant,Native Citizen,2014,Percent,0.79753,303
Fort Greene/Brooklyn Hts,Native Citizen,2014,Percent,0.80634,302
Park Slope,Native Citizen,2014,Percent,0.84057,306
Crown Heights North,Native Citizen,2014,Percent,0.70152,308
Brownsville,Native Citizen,2014,Percent,0.68561,316
East New York,Native Citizen,2014,Percent,0.64919,305
Canarsie,Native Citizen,2014,Percent,0.58024,318
East Flatbush,Native Citizen,2014,Percent,0.47957,317
Crown Heights South,Native Citizen,2014,Percent,0.62769,309
Sunset Park,Native Citizen,2014,Percent,0.51141,307
Bay Ridge,Native Citizen,2014,Percent,0.59099,310
Borough Park,Native Citizen,2014,Percent,0.6934,312
Flatbush/Midwood,Native Citizen,2014,Percent,0.57387,314
Sheepshead Bay,Native Citizen,2014,Percent,0.49262,315
Bensonhurst,Native Citizen,2014,Percent,0.44386,311
Coney Island,Native Citizen,2014,Percent,0.51025,313
Astoria,Native Citizen,2014,Percent,0.59268,401
Jackson Heights,Native Citizen,2014,Percent,0.4024,403
Flushing,Native Citizen,2014,Percent,0.4331,407
Bayside,Native Citizen,2014,Percent,0.59005,411
Queens Village,Native Citizen,2014,Percent,0.56491,413
Fresh Meadows/Briarwood,Native Citizen,2014,Percent,0.55056,408
Elmhurst/Corona,Native Citizen,2014,Percent,0.39377,404
Rego Park/Forest Hills,Native Citizen,2014,Percent,0.47187,406
Sunnyside/Woodside,Native Citizen,2014,Percent,0.43522,402
Ridgewood/Glendale,Native Citizen,2014,Percent,0.59624,405
Woodhaven,Native Citizen,2014,Percent,0.50123,409
Jamaica/St. Albans,Native Citizen,2014,Percent,0.58863,412
Howard Beach,Native Citizen,2014,Percent,0.55235,410
The Rockaways,Native Citizen,2014,Percent,0.69659,414
Bronx,Native Citizen,2014,Percent,0.65143,36005
Brooklyn,Native Citizen,2014,Percent,0.6296,36047
Manhattan,Native Citizen,2014,Percent,0.70897,36061
Queens,Native Citizen,2014,Percent,0.52205,36081
Staten Island,Native Citizen,2014,Percent,0.78395,36085
New York City,Native Citizen,2014,Percent,0.62779,3651000
Riverdale,Naturalized Citizen,2014,Number,19491,208
Williamsbridge,Naturalized Citizen,2014,Number,30790,212
Throgs Neck,Naturalized Citizen,2014,Number,14897,210
Pelham Parkway,Naturalized Citizen,2014,Number,25050,211
Morrisania,Naturalized Citizen,2014,Number,10762.95306,203
East Tremont,Naturalized Citizen,2014,Number,11236.04694,206
Bedford Park,Naturalized Citizen,2014,Number,26262,207
University Heights,Naturalized Citizen,2014,Number,21138,205
Concourse/Highbridge,Naturalized Citizen,2014,Number,24257,204
Unionport/Soundview,Naturalized Citizen,2014,Number,27654,209
Mott Haven,Naturalized Citizen,2014,Number,12559.41025,201
Hunts Point,Naturalized Citizen,2014,Number,7171.58975,202
Washington Heights,Naturalized Citizen,2014,Number,50765,112
Manhattanville,Naturalized Citizen,2014,Number,20048,109
Central Harlem,Naturalized Citizen,2014,Number,11698,110
East Harlem,Naturalized Citizen,2014,Number,13957,111
Upper East Side,Naturalized Citizen,2014,Number,27735,108
Upper West Side,Naturalized Citizen,2014,Number,22747,107
Chelsea/Clinton,Naturalized Citizen,2014,Number,12669.86854,104
Midtown Business District,Naturalized Citizen,2014,Number,6341.13146,105
Murray Hill/Stuyvesant,Naturalized Citizen,2014,Number,17039,106
Lower East Side,Naturalized Citizen,2014,Number,27898,103
Battery Park/Tribeca,Naturalized Citizen,2014,Number,7204.17064,101
Greenwich Village,Naturalized Citizen,2014,Number,10634.82936,102
Tottenville,Naturalized Citizen,2014,Number,19514,503
South Beach,Naturalized Citizen,2014,Number,24141,502
St. George,Naturalized Citizen,2014,Number,23085,501
Williamsburg/Greenpoint,Naturalized Citizen,2014,Number,18971,301
Bushwick,Naturalized Citizen,2014,Number,18211,304
Bedford Stuyvesant,Naturalized Citizen,2014,Number,16360,303
Fort Greene/Brooklyn Hts,Naturalized Citizen,2014,Number,13965,302
Park Slope,Naturalized Citizen,2014,Number,9926,306
Crown Heights North,Naturalized Citizen,2014,Number,20709,308
Brownsville,Naturalized Citizen,2014,Number,21143,316
East New York,Naturalized Citizen,2014,Number,32960,305
Canarsie,Naturalized Citizen,2014,Number,62881,318
East Flatbush,Naturalized Citizen,2014,Number,48253,317
Crown Heights South,Naturalized Citizen,2014,Number,25282,309
Sunset Park,Naturalized Citizen,2014,Number,27292,307
Bay Ridge,Naturalized Citizen,2014,Number,29664,310
Borough Park,Naturalized Citizen,2014,Number,27455,312
Flatbush/Midwood,Naturalized Citizen,2014,Number,41555,314
Sheepshead Bay,Naturalized Citizen,2014,Number,47879,315
Bensonhurst,Naturalized Citizen,2014,Number,58225,311
Coney Island,Naturalized Citizen,2014,Number,40076,313
Astoria,Naturalized Citizen,2014,Number,40653,401
Jackson Heights,Naturalized Citizen,2014,Number,43516,403
Flushing,Naturalized Citizen,2014,Number,67902,407
Bayside,Naturalized Citizen,2014,Number,35402,411
Queens Village,Naturalized Citizen,2014,Number,61213,413
Fresh Meadows/Briarwood,Naturalized Citizen,2014,Number,49662,408
Elmhurst/Corona,Naturalized Citizen,2014,Number,39603,404
Rego Park/Forest Hills,Naturalized Citizen,2014,Number,41758,406
Sunnyside/Woodside,Naturalized Citizen,2014,Number,31290,402
Ridgewood/Glendale,Naturalized Citizen,2014,Number,40370,405
Woodhaven,Naturalized Citizen,2014,Number,42806,409
Jamaica/St. Albans,Naturalized Citizen,2014,Number,61452,412
Howard Beach,Naturalized Citizen,2014,Number,38572,410
The Rockaways,Naturalized Citizen,2014,Number,21930,414
Bronx,Naturalized Citizen,2014,Number,231269,36005
Brooklyn,Naturalized Citizen,2014,Number,560807,36047
Manhattan,Naturalized Citizen,2014,Number,228737,36061
Queens,Naturalized Citizen,2014,Number,616129,36081
Staten Island,Naturalized Citizen,2014,Number,66740,36085
New York City,Naturalized Citizen,2014,Number,1703682,3651000
Riverdale,Naturalized Citizen,2014,Percent,0.18261,208
Williamsbridge,Naturalized Citizen,2014,Percent,0.22868,212
Throgs Neck,Naturalized Citizen,2014,Percent,0.1229,210
Pelham Parkway,Naturalized Citizen,2014,Percent,0.18441,211
Morrisania,Naturalized Citizen,2014,Percent,0.12772,203
East Tremont,Naturalized Citizen,2014,Percent,0.12772,206
Bedford Park,Naturalized Citizen,2014,Percent,0.19325,207
University Heights,Naturalized Citizen,2014,Percent,0.15911,205
Concourse/Highbridge,Naturalized Citizen,2014,Percent,0.17147,204
Unionport/Soundview,Naturalized Citizen,2014,Percent,0.14545,209
Mott Haven,Naturalized Citizen,2014,Percent,0.11805,201
Hunts Point,Naturalized Citizen,2014,Percent,0.11805,202
Washington Heights,Naturalized Citizen,2014,Percent,0.22626,112
Manhattanville,Naturalized Citizen,2014,Percent,0.15334,109
Central Harlem,Naturalized Citizen,2014,Percent,0.0886,110
East Harlem,Naturalized Citizen,2014,Percent,0.1076,111
Upper East Side,Naturalized Citizen,2014,Percent,0.12499,108
Upper West Side,Naturalized Citizen,2014,Percent,0.11824,107
Chelsea/Clinton,Naturalized Citizen,2014,Percent,0.12721,104
Midtown Business District,Naturalized Citizen,2014,Percent,0.12721,105
Murray Hill/Stuyvesant,Naturalized Citizen,2014,Percent,0.11886,106
Lower East Side,Naturalized Citizen,2014,Percent,0.18299,103
Battery Park/Tribeca,Naturalized Citizen,2014,Percent,0.11156,101
Greenwich Village,Naturalized Citizen,2014,Percent,0.11156,102
Tottenville,Naturalized Citizen,2014,Percent,0.11429,503
South Beach,Naturalized Citizen,2014,Percent,0.19129,502
St. George,Naturalized Citizen,2014,Percent,0.13091,501
Williamsburg/Greenpoint,Naturalized Citizen,2014,Percent,0.12262,301
Bushwick,Naturalized Citizen,2014,Percent,0.13257,304
Bedford Stuyvesant,Naturalized Citizen,2014,Percent,0.12279,303
Fort Greene/Brooklyn Hts,Naturalized Citizen,2014,Percent,0.10042,302
Park Slope,Naturalized Citizen,2014,Percent,0.07937,306
Crown Heights North,Naturalized Citizen,2014,Percent,0.16339,308
Brownsville,Naturalized Citizen,2014,Percent,0.17082,316
East New York,Naturalized Citizen,2014,Percent,0.21147,305
Canarsie,Naturalized Citizen,2014,Percent,0.29807,318
East Flatbush,Naturalized Citizen,2014,Percent,0.35086,317
Crown Heights South,Naturalized Citizen,2014,Percent,0.23123,309
Sunset Park,Naturalized Citizen,2014,Percent,0.17875,307
Bay Ridge,Naturalized Citizen,2014,Percent,0.23077,310
Borough Park,Naturalized Citizen,2014,Percent,0.16149,312
Flatbush/Midwood,Naturalized Citizen,2014,Percent,0.22994,314
Sheepshead Bay,Naturalized Citizen,2014,Percent,0.34742,315
Bensonhurst,Naturalized Citizen,2014,Percent,0.31031,311
Coney Island,Naturalized Citizen,2014,Percent,0.36194,313
Astoria,Naturalized Citizen,2014,Percent,0.22232,401
Jackson Heights,Naturalized Citizen,2014,Percent,0.23863,403
Flushing,Naturalized Citizen,2014,Percent,0.26448,407
Bayside,Naturalized Citizen,2014,Percent,0.29259,411
Queens Village,Naturalized Citizen,2014,Percent,0.317,413
Fresh Meadows/Briarwood,Naturalized Citizen,2014,Percent,0.31169,408
Elmhurst/Corona,Naturalized Citizen,2014,Percent,0.25593,404
Rego Park/Forest Hills,Naturalized Citizen,2014,Percent,0.38703,406
Sunnyside/Woodside,Naturalized Citizen,2014,Percent,0.20846,402
Ridgewood/Glendale,Naturalized Citizen,2014,Percent,0.2396,405
Woodhaven,Naturalized Citizen,2014,Percent,0.2831,409
Jamaica/St. Albans,Naturalized Citizen,2014,Percent,0.24483,412
Howard Beach,Naturalized Citizen,2014,Percent,0.28609,410
The Rockaways,Naturalized Citizen,2014,Percent,0.20316,414
Bronx,Naturalized Citizen,2014,Percent,0.16081,36005
Brooklyn,Naturalized Citizen,2014,Percent,0.2139,36047
Manhattan,Naturalized Citizen,2014,Percent,0.13979,36061
Queens,Naturalized Citizen,2014,Percent,0.26539,36081
Staten Island,Naturalized Citizen,2014,Percent,0.14102,36085
New York City,Naturalized Citizen,2014,Percent,0.20064,3651000
Riverdale,Non-Citizens,2014,Number,15127,208
Williamsbridge,Non-Citizens,2014,Number,23247,212
Throgs Neck,Non-Citizens,2014,Number,9198,210
Pelham Parkway,Non-Citizens,2014,Number,21253,211
Morrisania,Non-Citizens,2014,Number,16353.0936,203
East Tremont,Non-Citizens,2014,Number,17071.9064,206
Bedford Park,Non-Citizens,2014,Number,34301,207
University Heights,Non-Citizens,2014,Number,35131,205
Concourse/Highbridge,Non-Citizens,2014,Number,34530,204
Unionport/Soundview,Non-Citizens,2014,Number,33416,209
Mott Haven,Non-Citizens,2014,Number,19352.47832,201
Hunts Point,Non-Citizens,2014,Number,11050.52168,202
Washington Heights,Non-Citizens,2014,Number,53962,112
Manhattanville,Non-Citizens,2014,Number,26017,109
Central Harlem,Non-Citizens,2014,Number,15057,110
East Harlem,Non-Citizens,2014,Number,18953,111
Upper East Side,Non-Citizens,2014,Number,26019,108
Upper West Side,Non-Citizens,2014,Number,20591,107
Chelsea/Clinton,Non-Citizens,2014,Number,16326.00966,104
Midtown Business District,Non-Citizens,2014,Number,8170.99034,105
Murray Hill/Stuyvesant,Non-Citizens,2014,Number,14168,106
Lower East Side,Non-Citizens,2014,Number,26229,103
Battery Park/Tribeca,Non-Citizens,2014,Number,8872.85348,101
Greenwich Village,Non-Citizens,2014,Number,13098.14652,102
Tottenville,Non-Citizens,2014,Number,5814,503
South Beach,Non-Citizens,2014,Number,11804,502
St. George,Non-Citizens,2014,Number,17893,501
Williamsburg/Greenpoint,Non-Citizens,2014,Number,15389,301
Bushwick,Non-Citizens,2014,Number,27632,304
Bedford Stuyvesant,Non-Citizens,2014,Number,10616,303
Fort Greene/Brooklyn Hts,Non-Citizens,2014,Number,12967,302
Park Slope,Non-Citizens,2014,Number,10013,306
Crown Heights North,Non-Citizens,2014,Number,17122,308
Brownsville,Non-Citizens,2014,Number,17770,316
East New York,Non-Citizens,2014,Number,21718,305
Canarsie,Non-Citizens,2014,Number,25670,318
East Flatbush,Non-Citizens,2014,Number,23320,317
Crown Heights South,Non-Citizens,2014,Number,15425,309
Sunset Park,Non-Citizens,2014,Number,47308,307
Bay Ridge,Non-Citizens,2014,Number,22912,310
Borough Park,Non-Citizens,2014,Number,24670,312
Flatbush/Midwood,Non-Citizens,2014,Number,35456,314
Sheepshead Bay,Non-Citizens,2014,Number,22045,315
Bensonhurst,Non-Citizens,2014,Number,46128,311
Coney Island,Non-Citizens,2014,Number,14152,313
Astoria,Non-Citizens,2014,Number,33830,401
Jackson Heights,Non-Citizens,2014,Number,65459,403
Flushing,Non-Citizens,2014,Number,77645,407
Bayside,Non-Citizens,2014,Number,14200,411
Queens Village,Non-Citizens,2014,Number,22803,413
Fresh Meadows/Briarwood,Non-Citizens,2014,Number,21947,408
Elmhurst/Corona,Non-Citizens,2014,Number,54205,404
Rego Park/Forest Hills,Non-Citizens,2014,Number,15224,406
Sunnyside/Woodside,Non-Citizens,2014,Number,53483,402
Ridgewood/Glendale,Non-Citizens,2014,Number,27659,405
Woodhaven,Non-Citizens,2014,Number,32609,409
Jamaica/St. Albans,Non-Citizens,2014,Number,41802,412
Howard Beach,Non-Citizens,2014,Number,21783,410
The Rockaways,Non-Citizens,2014,Number,10821,414
Bronx,Non-Citizens,2014,Number,270031,36005
Brooklyn,Non-Citizens,2014,Number,410313,36047
Manhattan,Non-Citizens,2014,Number,247464,36061
Queens,Non-Citizens,2014,Number,493470,36081
Staten Island,Non-Citizens,2014,Number,35511,36085
New York City,Non-Citizens,2014,Number,1456789,3651000
Riverdale,Non-Citizens,2014,Percent,0.14172,208
Williamsbridge,Non-Citizens,2014,Percent,0.17266,212
Throgs Neck,Non-Citizens,2014,Percent,0.07589,210
Pelham Parkway,Non-Citizens,2014,Percent,0.15646,211
Morrisania,Non-Citizens,2014,Percent,0.19405,203
East Tremont,Non-Citizens,2014,Percent,0.19405,206
Bedford Park,Non-Citizens,2014,Percent,0.25241,207
University Heights,Non-Citizens,2014,Percent,0.26444,205
Concourse/Highbridge,Non-Citizens,2014,Percent,0.24409,204
Unionport/Soundview,Non-Citizens,2014,Percent,0.17576,209
Mott Haven,Non-Citizens,2014,Percent,0.18189,201
Hunts Point,Non-Citizens,2014,Percent,0.18189,202
Washington Heights,Non-Citizens,2014,Percent,0.24051,112
Manhattanville,Non-Citizens,2014,Percent,0.199,109
Central Harlem,Non-Citizens,2014,Percent,0.11404,110
East Harlem,Non-Citizens,2014,Percent,0.14611,111
Upper East Side,Non-Citizens,2014,Percent,0.11726,108
Upper West Side,Non-Citizens,2014,Percent,0.10704,107
Chelsea/Clinton,Non-Citizens,2014,Percent,0.16392,104
Midtown Business District,Non-Citizens,2014,Percent,0.16392,105
Murray Hill/Stuyvesant,Non-Citizens,2014,Percent,0.09884,106
Lower East Side,Non-Citizens,2014,Percent,0.17205,103
Battery Park/Tribeca,Non-Citizens,2014,Percent,0.1374,101
Greenwich Village,Non-Citizens,2014,Percent,0.1374,102
Tottenville,Non-Citizens,2014,Percent,0.03405,503
South Beach,Non-Citizens,2014,Percent,0.09353,502
St. George,Non-Citizens,2014,Percent,0.10147,501
Williamsburg/Greenpoint,Non-Citizens,2014,Percent,0.09947,301
Bushwick,Non-Citizens,2014,Percent,0.20115,304
Bedford Stuyvesant,Non-Citizens,2014,Percent,0.07968,303
Fort Greene/Brooklyn Hts,Non-Citizens,2014,Percent,0.09324,302
Park Slope,Non-Citizens,2014,Percent,0.08006,306
Crown Heights North,Non-Citizens,2014,Percent,0.13509,308
Brownsville,Non-Citizens,2014,Percent,0.14357,316
East New York,Non-Citizens,2014,Percent,0.13934,305
Canarsie,Non-Citizens,2014,Percent,0.12168,318
East Flatbush,Non-Citizens,2014,Percent,0.16957,317
Crown Heights South,Non-Citizens,2014,Percent,0.14108,309
Sunset Park,Non-Citizens,2014,Percent,0.30984,307
Bay Ridge,Non-Citizens,2014,Percent,0.17824,310
Borough Park,Non-Citizens,2014,Percent,0.14511,312
Flatbush/Midwood,Non-Citizens,2014,Percent,0.19619,314
Sheepshead Bay,Non-Citizens,2014,Percent,0.15996,315
Bensonhurst,Non-Citizens,2014,Percent,0.24584,311
Coney Island,Non-Citizens,2014,Percent,0.12781,313
Astoria,Non-Citizens,2014,Percent,0.185,401
Jackson Heights,Non-Citizens,2014,Percent,0.35897,403
Flushing,Non-Citizens,2014,Percent,0.30242,407
Bayside,Non-Citizens,2014,Percent,0.11736,411
Queens Village,Non-Citizens,2014,Percent,0.11809,413
Fresh Meadows/Briarwood,Non-Citizens,2014,Percent,0.13775,408
Elmhurst/Corona,Non-Citizens,2014,Percent,0.3503,404
Rego Park/Forest Hills,Non-Citizens,2014,Percent,0.1411,406
